date,gold_usd,gold_usd_variability
2025-02-14,2929.65,1.04
2025-02-13,2916.375,-0.45
2025-02-12,2887.425,-0.99
2025-02-11,2901.125,0.47
2025-02-10,2900.0,-0.04
2025-02-07,2870.55,-1.02
2025-02-06,2850.075,-0.71
2025-02-05,2872.4750000000004,0.79
2025-02-04,2828.375,-1.54
2025-02-03,2810.125,-0.65
2025-01-31,2801.775,-0.3
2025-01-30,2782.7,-0.68
2025-01-29,2757.8500000000004,-0.89
2025-01-28,2747.8,-0.36
2025-01-27,2754.75,0.25
2025-01-24,2773.925,0.7
2025-01-23,2745.725,-1.02
2025-01-22,2755.9750000000004,0.37
2025-01-21,2729.6000000000004,-0.96
2025-01-20,2707.6,-0.81
2025-01-17,2710.15,0.09
2025-01-16,2711.975,0.07
2025-01-15,2682.15,-1.1
2025-01-14,2666.7,-0.58
2025-01-13,2674.65,0.3
2025-01-10,2683.45,0.33
2025-01-09,2670.475,-0.48
2025-01-08,2656.55,-0.52
2025-01-07,2647.625,-0.34
2025-01-06,2632.575,-0.57
2025-01-03,2650.55,0.68
2025-01-02,2645.45,-0.19
2024-12-31,,0.0
2024-12-30,2609.7,-1.35
2024-12-27,2620.75,0.42
2024-12-24,,0.0
2024-12-23,2617.175,-0.14
2024-12-20,2611.3,-0.22
2024-12-19,2606.875,-0.17
2024-12-18,2642.0,1.35
2024-12-17,2638.975,-0.11
2024-12-16,2657.575,0.7
2024-12-13,2664.3,0.25
2024-12-12,2698.975,1.3
2024-12-11,2701.45,0.09
2024-12-10,2680.025,-0.79
2024-12-09,2663.875,-0.6
2024-12-06,2636.9,-1.01
2024-12-05,2644.65,0.29
2024-12-04,2645.3500000000004,0.03
2024-12-03,2643.0,-0.09
2024-12-02,2639.7,-0.12
2024-11-29,2657.675,0.68
2024-11-28,2644.125,-0.51
2024-11-27,2644.425,0.01
2024-11-26,2626.2,-0.69
2024-11-25,2652.9,1.02
2024-11-22,2700.6,1.8
2024-11-21,2667.5,-1.23
2024-11-20,2632.425,-1.31
2024-11-19,2629.575,-0.11
2024-11-18,2598.475,-1.18
