date,gold_kzt,gold_kzt_variability
26-12-2024,43271.63,-0.06
25-12-2024,43352.31,0.19
24-12-2024,44124.79,1.78
23-12-2024,43894.06,-0.52
20-12-2024,44162.7,0.61
19-12-2024,44500.08,0.76
18-12-2024,44559.07,0.13
17-12-2024,44699.82,0.32
13-12-2024,45620.9,2.06
12-12-2024,44830.77,-1.73
11-12-2024,43619.63,-2.7
10-12-2024,43554.49,-0.15
09-12-2024,43624.54,0.16
06-12-2024,44685.57,2.43
05-12-2024,44474.92,-0.47
04-12-2024,44495.6,0.05
03-12-2024,44478.91,-0.04
02-12-2024,43790.71,-1.55
29-11-2024,43647.96,-0.33
28-11-2024,42525.87,-2.57
27-11-2024,42160.43,-0.86
26-11-2024,42799.75,1.52
25-11-2024,43359.55,1.31
22-11-2024,42476.1,-2.04
21-11-2024,41781.61,-1.64
20-11-2024,42141.67,0.86
19-11-2024,41461.12,-1.61
18-11-2024,40926.45,-1.29
15-11-2024,40463.39,-1.13
14-11-2024,41295.73,2.06
13-11-2024,41226.64,-0.17
12-11-2024,42299.02,2.6
11-11-2024,42449.91,0.36
08-11-2024,42206.71,-0.57
07-11-2024,43135.76,2.2
06-11-2024,43049.92,-0.2
05-11-2024,43130.45,0.19
04-11-2024,43114.44,-0.04
01-11-2024,43630.81,1.2
31-10-2024,43719.24,0.2
30-10-2024,43460.0,-0.59
29-10-2024,42822.11,-1.47
28-10-2024,42411.19,-0.96
24-10-2024,42608.72,0.47
23-10-2024,42553.36,-0.13
22-10-2024,42344.39,-0.49
21-10-2024,42285.77,-0.14
18-10-2024,41958.27,-0.77
17-10-2024,42118.73,0.38
16-10-2024,41578.86,-1.28
15-10-2024,41386.0,-0.46
14-10-2024,41320.75,-0.16
11-10-2024,41302.49,-0.04
10-10-2024,41157.42,-0.35
09-10-2024,41281.0,0.3
08-10-2024,41292.99,0.03
07-10-2024,41168.7,-0.3
04-10-2024,41046.27,-0.3
03-10-2024,41250.18,0.5
02-10-2024,40887.37,-0.88
01-10-2024,40999.46,0.27
30-09-2024,40992.7,-0.02
27-09-2024,41062.14,0.17
26-09-2024,40797.4,-0.64
26-09-2024,40797.4,0.0
25-09-2024,40540.22,-0.63
24-09-2024,40432.41,-0.27
23-09-2024,40144.06,-0.71
20-09-2024,39889.95,-0.63
19-09-2024,39549.82,-0.85
18-09-2024,39798.21,0.63
17-09-2024,39981.2,0.46
16-09-2024,39630.74,-0.88
13-09-2024,38604.09,-2.59
12-09-2024,38725.89,0.32
11-09-2024,38412.01,-0.81
10-09-2024,38440.1,0.07
09-09-2024,38898.57,1.19
06-09-2024,39078.83,0.46
05-09-2024,38470.61,-1.56
04-09-2024,38851.57,0.99
03-09-2024,38815.28,-0.09
02-09-2024,39085.87,0.7
29-08-2024,38826.71,-0.66
28-08-2024,38787.47,-0.1
27-08-2024,38878.94,0.24
26-08-2024,38809.0,-0.18
23-08-2024,38585.5,-0.58
22-08-2024,38352.28,-0.6
21-08-2024,38654.85,0.79
20-08-2024,38480.39,-0.45
19-08-2024,37910.5,-1.48
16-08-2024,37792.8,-0.31
15-08-2024,38135.28,0.91
14-08-2024,37927.79,-0.54
13-08-2024,37611.2,-0.83
